               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.088761,0.052238,0.036014,0.33373,0.3906,0.3149,0.15168,0.064496,0.040099,0.028571,0.070588,0.003268,0.003268
1,0.065191,0.043597,0.025674,0.34307,0.58357,0.48062,0.22911,0.057907,0.030925,0.018678,0.040523,0.006536,0.006536
2,0.059552,0.040421,0.019126,0.46881,0.72421,0.60554,0.46235,0.056048,0.027709,0.015045,0.010392,0.0097379,0.0097379
3,0.05374,0.036878,0.014301,0.65284,0.62579,0.66717,0.39383,0.052649,0.026624,0.013809,0.009703,0.009703,0.009703
4,0.048754,0.035936,0.011702,0.69411,0.72815,0.72135,0.42962,0.042799,0.024472,0.013227,0.009703,0.009703,0.009703
5,0.043896,0.034012,0.011071,0.6848,0.8062,0.76627,0.49383,0.04065,0.023819,0.012217,0.009604,0.009604,0.009604
6,0.042236,0.032993,0.0093261,0.74732,0.78083,0.81005,0.58098,0.040202,0.024555,0.012288,0.009505,0.009505,0.009505
7,0.040516,0.031459,0.0098841,0.79267,0.83462,0.85183,0.67642,0.041232,0.025215,0.0099969,0.009406,0.009406,0.009406
8,0.038568,0.030306,0.0086794,0.83657,0.80144,0.86082,0.53911,0.03933,0.023973,0.0095454,0.009307,0.009307,0.009307
9,0.037488,0.030397,0.0072593,0.88551,0.79229,0.85845,0.61192,0.038181,0.023971,0.010587,0.009208,0.009208,0.009208
10,0.034455,0.030625,0.0076642,0.83468,0.83466,0.86588,0.6071,0.034724,0.024564,0.011049,0.009109,0.009109,0.009109
11,0.03263,0.029548,0.0067201,0.8426,0.80911,0.84002,0.65472,0.033399,0.025636,0.014449,0.00901,0.00901,0.00901
12,0.032914,0.028937,0.0061448,0.88356,0.8579,0.89473,0.70657,0.03147,0.021036,0.015382,0.008911,0.008911,0.008911
13,0.032375,0.028716,0.0060998,0.89246,0.82984,0.89425,0.64467,0.034969,0.023486,0.012816,0.008812,0.008812,0.008812
14,0.032659,0.028618,0.0064619,0.8774,0.85866,0.89845,0.70541,0.031482,0.02143,0.0089885,0.008713,0.008713,0.008713
15,0.030711,0.028565,0.0065685,0.91349,0.84563,0.91854,0.74003,0.030127,0.020979,0.012981,0.008614,0.008614,0.008614
16,0.030964,0.027758,0.0064609,0.87207,0.84633,0.90081,0.72448,0.030097,0.020583,0.014733,0.008515,0.008515,0.008515
17,0.030142,0.027923,0.0059725,0.88781,0.87207,0.92173,0.71158,0.031761,0.021376,0.0080583,0.008416,0.008416,0.008416
18,0.028453,0.027087,0.0064324,0.84625,0.81348,0.88169,0.69629,0.03148,0.025865,0.011967,0.008317,0.008317,0.008317
19,0.029441,0.026864,0.006228,0.86121,0.8672,0.89959,0.66941,0.031885,0.021831,0.010816,0.008218,0.008218,0.008218
20,0.029317,0.026448,0.0054227,0.90861,0.86196,0.91955,0.76767,0.030833,0.022751,0.01249,0.008119,0.008119,0.008119
21,0.02926,0.025898,0.0050246,0.88414,0.86214,0.91182,0.75166,0.030983,0.021014,0.013018,0.00802,0.00802,0.00802
22,0.028811,0.026584,0.0060243,0.89818,0.87714,0.92728,0.77041,0.029055,0.022774,0.0099753,0.007921,0.007921,0.007921
23,0.02732,0.026483,0.0050964,0.90897,0.88269,0.92546,0.78498,0.029451,0.021769,0.01122,0.007822,0.007822,0.007822
24,0.027988,0.024922,0.0051156,0.91806,0.86326,0.92406,0.72524,0.027555,0.021373,0.011766,0.007723,0.007723,0.007723
25,0.027709,0.024946,0.0055442,0.87906,0.86393,0.91651,0.72843,0.029379,0.022194,0.010367,0.007624,0.007624,0.007624
26,0.02688,0.026234,0.0059857,0.93602,0.86234,0.92904,0.76041,0.028518,0.021512,0.008559,0.007525,0.007525,0.007525
27,0.026757,0.025345,0.0051726,0.90614,0.90484,0.94111,0.75939,0.02686,0.01972,0.010803,0.007426,0.007426,0.007426
28,0.02576,0.024772,0.0053976,0.93938,0.89246,0.94529,0.80734,0.027354,0.018784,0.011577,0.007327,0.007327,0.007327
29,0.026409,0.024713,0.0048013,0.87974,0.90114,0.93453,0.80558,0.026079,0.018707,0.012115,0.007228,0.007228,0.007228
30,0.026015,0.025072,0.0045945,0.9263,0.9,0.93834,0.81109,0.025851,0.020379,0.010553,0.007129,0.007129,0.007129
31,0.026283,0.024396,0.0048159,0.91371,0.89331,0.93359,0.79597,0.027256,0.022323,0.0067503,0.00703,0.00703,0.00703
32,0.025232,0.022982,0.0045702,0.93537,0.88905,0.94706,0.79071,0.025951,0.020285,0.008136,0.006931,0.006931,0.006931
33,0.02475,0.023065,0.0046378,0.91456,0.91012,0.94052,0.78304,0.027947,0.021556,0.0073905,0.006832,0.006832,0.006832
34,0.025403,0.022337,0.0043433,0.87492,0.91112,0.92524,0.76437,0.028026,0.019106,0.008815,0.006733,0.006733,0.006733
35,0.024013,0.023086,0.0042708,0.93902,0.90022,0.9468,0.80025,0.026525,0.020656,0.011678,0.006634,0.006634,0.006634
36,0.024714,0.023521,0.0042793,0.91273,0.90503,0.94384,0.80797,0.025556,0.020655,0.011546,0.006535,0.006535,0.006535
37,0.024396,0.022497,0.0039033,0.93478,0.89874,0.94467,0.82298,0.027721,0.021526,0.012342,0.006436,0.006436,0.006436
38,0.02416,0.023027,0.0040891,0.94016,0.90416,0.95034,0.8214,0.027576,0.021315,0.011336,0.006337,0.006337,0.006337
39,0.022704,0.022426,0.0046829,0.95236,0.89318,0.94396,0.81177,0.026697,0.021698,0.010259,0.006238,0.006238,0.006238
40,0.023492,0.022199,0.0041972,0.92385,0.90053,0.94713,0.82946,0.02632,0.021214,0.011105,0.006139,0.006139,0.006139
41,0.023361,0.022742,0.0040149,0.96162,0.89101,0.94332,0.83145,0.026288,0.019543,0.01322,0.00604,0.00604,0.00604
42,0.021469,0.021712,0.003844,0.94736,0.89466,0.94559,0.81886,0.026539,0.018603,0.013048,0.005941,0.005941,0.005941
43,0.022932,0.021841,0.0038881,0.95738,0.89127,0.94952,0.81595,0.026803,0.019165,0.011151,0.005842,0.005842,0.005842
44,0.022147,0.021982,0.0045965,0.92941,0.91006,0.95058,0.82776,0.026732,0.020316,0.010354,0.005743,0.005743,0.005743
45,0.021875,0.022273,0.0043151,0.90513,0.90407,0.93127,0.79885,0.026885,0.019857,0.0090163,0.005644,0.005644,0.005644
46,0.021814,0.02155,0.0036733,0.92625,0.89374,0.94322,0.81417,0.02424,0.018041,0.011626,0.005545,0.005545,0.005545
47,0.021556,0.02136,0.0036822,0.93158,0.90046,0.94718,0.82538,0.025423,0.019882,0.010781,0.005446,0.005446,0.005446
48,0.020832,0.020575,0.0038202,0.94649,0.90366,0.94756,0.81172,0.025574,0.01826,0.011961,0.005347,0.005347,0.005347
49,0.020845,0.020956,0.0037542,0.92759,0.89096,0.94359,0.8246,0.025242,0.01854,0.0067224,0.005248,0.005248,0.005248
50,0.021165,0.021503,0.003705,0.94269,0.9045,0.93892,0.82949,0.025413,0.019996,0.010726,0.005149,0.005149,0.005149
51,0.021112,0.021001,0.0034566,0.94748,0.90774,0.94791,0.85203,0.025575,0.018763,0.0077356,0.00505,0.00505,0.00505
52,0.019843,0.020303,0.003367,0.9563,0.89984,0.9465,0.83698,0.023665,0.021624,0.0076758,0.004951,0.004951,0.004951
53,0.020782,0.020584,0.0035067,0.95237,0.90894,0.95127,0.84824,0.024885,0.02291,0.0062906,0.004852,0.004852,0.004852
54,0.020863,0.020436,0.0033852,0.94797,0.90911,0.95647,0.84904,0.023263,0.017237,0.0065245,0.004753,0.004753,0.004753
55,0.019929,0.019652,0.0031346,0.94021,0.90487,0.94907,0.82536,0.023723,0.019244,0.0065023,0.004654,0.004654,0.004654
56,0.020208,0.019552,0.0039037,0.954,0.89697,0.95439,0.834,0.022624,0.018049,0.0096152,0.004555,0.004555,0.004555
57,0.019545,0.019662,0.0030735,0.94692,0.90494,0.95285,0.82478,0.024154,0.019523,0.0045163,0.004456,0.004456,0.004456
58,0.020039,0.019978,0.0031869,0.94662,0.90637,0.95273,0.84356,0.024127,0.020159,0.0040808,0.004357,0.004357,0.004357
59,0.01922,0.020302,0.0031865,0.9563,0.9128,0.95264,0.83175,0.023689,0.018835,0.0079495,0.004258,0.004258,0.004258
60,0.018652,0.019491,0.0031431,0.94215,0.92348,0.95084,0.85173,0.023305,0.01937,0.011358,0.004159,0.004159,0.004159
61,0.01845,0.019736,0.0028794,0.95092,0.90455,0.94782,0.84454,0.023727,0.019984,0.0092093,0.00406,0.00406,0.00406
62,0.019199,0.019313,0.0028985,0.95821,0.91144,0.94959,0.84665,0.024446,0.019756,0.0081318,0.003961,0.003961,0.003961
63,0.019045,0.018851,0.0033569,0.95537,0.91612,0.95559,0.85149,0.022388,0.017857,0.0084305,0.003862,0.003862,0.003862
64,0.018645,0.01881,0.0027759,0.94688,0.89587,0.94848,0.84573,0.02307,0.01974,0.010626,0.003763,0.003763,0.003763
65,0.01787,0.018886,0.0030157,0.95105,0.90584,0.95098,0.84847,0.023782,0.021997,0.0068253,0.003664,0.003664,0.003664
66,0.018371,0.018892,0.0030158,0.9539,0.90418,0.95858,0.85571,0.021219,0.017722,0.011558,0.003565,0.003565,0.003565
67,0.018211,0.018357,0.0030394,0.94785,0.91154,0.95064,0.85893,0.022772,0.018527,0.012036,0.003466,0.003466,0.003466
68,0.018727,0.018451,0.003241,0.95357,0.90199,0.95339,0.85263,0.022411,0.017506,0.0077343,0.003367,0.003367,0.003367
69,0.017392,0.018586,0.0027109,0.91646,0.92338,0.95326,0.84753,0.022012,0.018492,0.010748,0.003268,0.003268,0.003268
70,0.017955,0.018651,0.0031673,0.91938,0.92181,0.94918,0.8526,0.021308,0.019671,0.01156,0.003169,0.003169,0.003169
71,0.017202,0.018087,0.0031125,0.95355,0.90837,0.9541,0.85654,0.02152,0.01859,0.010568,0.00307,0.00307,0.00307
72,0.016968,0.017372,0.0026138,0.96462,0.9056,0.95076,0.85419,0.021945,0.017497,0.012948,0.002971,0.002971,0.002971
73,0.016776,0.017773,0.0027529,0.93354,0.90823,0.94912,0.85003,0.021712,0.019072,0.011921,0.002872,0.002872,0.002872
74,0.01687,0.017692,0.0031646,0.92782,0.91622,0.9482,0.85678,0.022358,0.019124,0.011853,0.002773,0.002773,0.002773
75,0.016486,0.017293,0.0027898,0.93417,0.90789,0.95018,0.85386,0.022738,0.018821,0.01081,0.002674,0.002674,0.002674
76,0.016322,0.017341,0.0026224,0.94851,0.90891,0.95207,0.85876,0.02262,0.018742,0.011039,0.002575,0.002575,0.002575
77,0.016477,0.016492,0.0025353,0.93167,0.92278,0.95209,0.86007,0.022423,0.018384,0.0069885,0.002476,0.002476,0.002476
78,0.016944,0.01687,0.0030891,0.94228,0.91507,0.95487,0.86031,0.022743,0.016898,0.010237,0.002377,0.002377,0.002377
79,0.016201,0.017453,0.002595,0.95527,0.90639,0.95595,0.858,0.022211,0.018031,0.0090064,0.002278,0.002278,0.002278
80,0.015752,0.016755,0.0028536,0.95586,0.91529,0.95656,0.86204,0.022021,0.017128,0.011171,0.002179,0.002179,0.002179
81,0.015311,0.016141,0.0025734,0.93961,0.91932,0.95171,0.85908,0.022164,0.018849,0.0088116,0.00208,0.00208,0.00208
82,0.015378,0.016455,0.0023957,0.95682,0.91382,0.95386,0.85872,0.022405,0.017706,0.010864,0.001981,0.001981,0.001981
83,0.015722,0.016746,0.0027463,0.96441,0.91703,0.95345,0.85688,0.02248,0.016621,0.013422,0.001882,0.001882,0.001882
84,0.015544,0.016431,0.0025017,0.94688,0.91812,0.95493,0.85871,0.022496,0.019082,0.010125,0.001783,0.001783,0.001783
85,0.015415,0.016401,0.0023218,0.94791,0.91436,0.95379,0.86054,0.022196,0.018921,0.010452,0.001684,0.001684,0.001684
86,0.015438,0.016397,0.0021858,0.95473,0.91333,0.95492,0.86774,0.022259,0.017838,0.0098269,0.001585,0.001585,0.001585
87,0.014401,0.015764,0.0022422,0.96457,0.90515,0.95598,0.87131,0.022273,0.017555,0.0095386,0.001486,0.001486,0.001486
88,0.014891,0.015547,0.0022962,0.95166,0.91507,0.9545,0.86597,0.022025,0.019147,0.0088897,0.001387,0.001387,0.001387
89,0.014603,0.015954,0.0022627,0.96298,0.89435,0.95385,0.86645,0.022342,0.017915,0.0090222,0.001288,0.001288,0.001288
90,0.015092,0.015733,0.0025795,0.93176,0.91709,0.95396,0.87226,0.021892,0.017976,0.0093931,0.001189,0.001189,0.001189
91,0.01417,0.01584,0.0024518,0.9566,0.91734,0.953,0.86977,0.0223,0.020571,0.010977,0.00109,0.00109,0.00109
92,0.014034,0.015666,0.0020584,0.94898,0.92108,0.95512,0.8728,0.022401,0.018674,0.0070275,0.000991,0.000991,0.000991
93,0.014849,0.015536,0.0022707,0.94886,0.91598,0.95585,0.87146,0.021593,0.017594,0.010438,0.000892,0.000892,0.000892
94,0.013872,0.015402,0.0023388,0.96718,0.90447,0.9548,0.87525,0.021894,0.018408,0.0091747,0.000793,0.000793,0.000793
95,0.013844,0.015281,0.0023619,0.96306,0.90252,0.95442,0.87528,0.02176,0.018992,0.0093994,0.000694,0.000694,0.000694
96,0.013464,0.01451,0.0023184,0.95642,0.91255,0.9543,0.8719,0.021838,0.017766,0.011175,0.000595,0.000595,0.000595
97,0.014093,0.014825,0.0026626,0.95062,0.91532,0.95405,0.87079,0.021663,0.01693,0.010403,0.000496,0.000496,0.000496
98,0.013869,0.01569,0.0022617,0.95613,0.91271,0.95239,0.87426,0.021692,0.017495,0.0097104,0.000397,0.000397,0.000397
99,0.013544,0.016002,0.0021054,0.95413,0.91035,0.95346,0.87273,0.021859,0.017947,0.0098164,0.000298,0.000298,0.000298
